19:46:48 ==> [START] Server is online and live19:46:57 ==> [CONNECTION] new connection from 192.168.1.2 | 64393 | 0302yasiru
19:47:20 ==> [CONNECTION] new connection from 192.168.1.2 | 64403 | 0303yasiru
19:47:28 ==> [BINDED] 0303yasiru and 0302yasiru are binded
19:47:28 ==> [FORWARD] msg forwarded to -> 0303yasiru
19:47:29 ==> [FORWARD] msg forwarded to -> 0302yasiru
19:47:39 ==> [RECIVED] msg recived from -> 0303yasiru
19:47:39 ==> [FORWARD] msg forwarded to -> 0302yasiru
19:47:49 ==> [RECIVED] msg recived from -> 0303yasiru
19:47:49 ==> [FORWARD] msg forwarded to -> 0302yasiru
19:47:53 ==> [RECIVED] msg recived from -> 0302yasiru
19:47:53 ==> [FORWARD] msg forwarded to -> 0303yasiru
19:47:56 ==> [RECIVED] msg recived from -> 0302yasiru
19:47:56 ==> [FORWARD] msg forwarded to -> 0303yasiru
19:48:03 ==> [SHUTDOWN] The server is shutting down
